SideCode,SiteName,RelFeatureType,RelFeatureDescription,ReligiousAffiliation,DeityName,RelFeatureDate,BasisOfDate,Sculptures?,SculptureNotes,Inscription(s)?,InscriptionText,InscriptionNotes,AssociatedFeatures,AssociatedArtefacts,SiteInterpretation,InterpretationNotes,,,,,,,,,,,,,,,,
BDR03,Bhandara (Pinglai Temple),Temple,"Temple is renovated but originally was hemadpanthi style. The Garbhagriha, Antaral and door are only original part of the temple. In the vicinity of the temple there are some fragmented sculpture.",Brahmanical (Shakti),Pinglai,Early Medieval,Architectural style,Yes,"Sculptures of Shivlinga, Nandi and Ganesh in the vicinity of the temple.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BDR05,Bondri,Temple,"Hanuman temple, possible dating to the late medieval period",Brahmanical (Vaishnava),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
BDV04,Bhadravati,Temple,Remains of Jain temple,Jain,Unknown,7th-8th Centuries AD,Sculptures,Yes,"Image of Ambika, a huge image of Kubera and a statue of a jina",No,NA,NA,Unknown,Unknown,"Single temple, Jain",None,,,,,,,,,,,,,,,,
BDV13,Bhadranag Temple,Temple,None,Brahmanical (Unknown sect),Unknown,AD1146,Epigraphic Evidence?,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BDV14,Chandika (Bhavani) Temple,Temple,None,Brahmanical (Unknown sect),Unknown,AD1076,Epigraphic Evidence?,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BDV15,Parshvanath Temple,Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BDV16,"Takathalav, Vishnu Temple",Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BDV17,Bhadravati Temple (Dolara Lake),Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BDW01,Bhondewada,Temple,"Hanuman temple, possible dating to the late medieval period",Brahmanical (Vaishnava),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Vaishnava)",None,,,,,,,,,,,,,,,,
BHG01,Bhugaon,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BJL01,Bijli,Temple,None,Brahmanical (Unknown sect),Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BJN01,Bejgaon,Temple,None,Brahmanical (Unknown sect),Unknown,12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BKD01,Bhivkund,Cave,Unknown,Buddhist,N/A,Satavahana,Unrecorded,No,NA,Yes,Unknown,None,Unknown,Unknown,"Single cave, Buddhist",None,,,,,,,,,,,,,,,,
BMP03,Brahmapuri,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BNH02,,Stupa,"14m diameter stupa (including both pradakshina patha 1.75m wide, and drum), with remains of drum 1.8m high revealed during ex. Dome missing, but brick debris found scaterred around the remains of the drum",Buddhist,None,3rd century BCE,"Radiocarbon, architecture, pottery",No,NA,Yes,None,Inscribed bricks (single chaacter inscriptions),BHN01,"Pottery (NBPW, RPW), terracotta figurines, quern stones, coins","Stupa, Buddhist",None,,,,,,,,,,,,,,,,
BRI04,Bori,Temple,"Stone built temple, possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BRI07,Bori,Temple,"Stone built temple, possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BSN02,Bhivsen,Cave,Unknown,Unidentified,Unknown,Vakataka,Epigraphic Evidence,Unknown,NA,Yes,Unknown,None,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
BTL02,Bhatala (Bhavani Temple),Temple,"This temple is under State Archaeology Department and is locally known as Bhavani temple. It has been renovated recently. The temple has the images of Ganesha, Shivlinga, Nandi etc.",Brahmanical (Shakti),Bhavani,Vakataka to Early Medival ,Sculptures,Yes,"Ganesh, Shivlinga and Nandi",Unknown,NA,NA,Temple structure,None,"Single temple, Brahmanical (Devi)",None,,,,,,,,,,,,,,,,
BTL03,Bhatala (Shiv Temple),Temple,This is a marvelous shiv temple managed by ASI. The massiveness of this temple reminds of Bhojpur temple.  ,Brahmanical (Shaivite),Unknown,Early Medieval,Associated Archaeology,Yes,Shiv linga and other images,Unknown,NA,NA,Temple and sculptures,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BTL05,Bhatala (Kashi Rushi Talav),Cave,Rushi Talav is known for its nano caves that have been carved in sandstone boulders located all around Rushi lake. There are a total of 20 small caves (not more than 1m x 1m). some are intact and some are broken. Most of these caves are single chambered and usually have either a shiv linga/Ganesha/Shiva/Buddhha/ Narasimha carved  inside these caves. At times three caves are carves on a single boulder (The coordinates of individual cave have been taken and photography was done using a scale and a North arrow). Lots of architectural and sculptural  remains can be seen at this place. I couldnot take the dimentions of the caves since the area was under renovation and the contractor gave me limited time to see the scuptures. The extent of the Rushi Talav is 70 m N-S and 75m E-W. I could not measure the dimentions of individual cave since there was no time and secondly I thaought this is worth visiting with Michael and Jason in next visit to Vidharbha for through documentation.,Brahmanical (Shaivite),Unknown,Vakataka,Sculptures,Yes,"Shiva, Ganesh, Buddha, Narsimha",No,NA,NA,Bhavani temple,Unknown,"Single cave, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BTL08,Bhatala (Rock cut cave no. 21 and 22),Cave,Unknown,Brahmanical (Unknown sect),Unknown,Vakataka,Sculptures,Yes,None,Unknown,NA,NA,"Caves, temples and lakes",Unknown,"Multiple cave complex, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BTL09,Bhatala (Rock cut cave no. 23),Cave,Unknown,Brahmanical (Unknown sect),Unknown,Vakataka,Sculptures,Yes,None,Unknown,NA,NA,"Caves, temples and lakes",Unknown,"Single cave, Brahmanical (Unknown sect)","Inserted in a bigger multiple cave and temple complex, undetermined?",,,,,,,,,,,,,,,,
BTL10,Bhatala(Temple Ruins near Habitation),Temple,Temple ruins; stone alignments ,Brahmanical (Unknown sect),Unknown,Early Medieval,Architectural style,No,NA,No,NA,NA,Ruins of Temple (BTL01.94) is at some distance,Life size Hanuman sculpture at some distance,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
BTL11,Bhatala(Temple Ruins near Habitation),Temple,Temple ruins; stone alignments ,Brahmanical (Unknown sect),Unknown,Early Medieval,Architectural style,Yes,Ganesh and other sculptures.,No,NA,NA,Ruins of Temple (BTL01.93) is at some distance,Life size Hanuman sculpture at some distance,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BTL15,Bhatala,Cave,Caves are excavated out of Sandstone and inside deities like Narsimha (Keval) and Shivlinga are carved. Ganesh also appears in one of the cell.,Brahmanical (Shaivite),Unknown,Vakataka,Unrecorded,Yes,"Narsimha, Ganesh, Shivlinga",No,NA,NA,Sculptures in and around the Caves like Mahisamardini and Vishnu.,Unknown,"Multiple cave complex, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
BVR01,Bhovari,Cave,4 caves; 3 of these caves consist of two chambers connected by a door; the average height of each cave is 1.21 m. and the maximum depth 3 m. One of these has a verandah and an ante-room and has a square pillar at the entrance; the second has a door-frame with a channel cut to drain off rain water.,Buddhist,N/A,Unknown,NA,No,NA,No,NA,NA,None,Unknown,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
BYR01,Bhuyari,Cave,Cave with inscription,Buddhist,N/A,Satavahana,Unrecorded,Unknown,NA,Yes,Unknown,None,Unknown,Unknown,"Single cave, Buddhist",None,,,,,,,,,,,,,,,,
CCD01,Chinchkhed,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CCL06,Chichala,Temple,"Stone built temple, Possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CCL07,Chichala,Temple,"Stone built temple, Possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CCL09,Chichala ,Temple,"Stone built temple, Possibly dating from the late medieval period",Brahmanical (Unknown sect),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CDG01,Chandgaon (Mahadev Temple),Temple ,The temple is totally Dismantle. Only pillars and some other antiquity can be seen.,Brahmanical (Shaivite),Mahadev,12th-13th century AD,Architectural style,No,NA,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
CDL01,Chandala forest,Cave,Cave with 2 inscriptions,Buddhist,N/A,Satavahana/ 2nd Century BC ,Epigraphic Evidence,No,NA,Yes,Unknown,"2 inscriptions near the entrance of the cave; one of these consists of two lines recording the gift of Apale, son of Vandalaka.",None,Unknown,"Single cave, Buddhist",None,,,,,,,,,,,,,,,,
CDP01,Chandrapur,Cave,Unknown,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
CDR02,Chandur (Gadchandur),Temple ,Temple Complex,Brahmanical (Unknown sect),Unknown,12th-13th century AD,Architectural style,Unknown,NA,Unknown,NA,NA,Mound belonging to historical period,Unknown,"Multiple temple complex, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CKH01,Chakaheti,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CKK02,Chikani Kasba,Temple,Hemadpanthi style,Brahmanical (Unknown sect),Unknown,11th-12th century AD,Architectural style,Yes,None,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CKK03,Chikani Kasba,Temple,Hemadpanthi style,Brahmanical (Unknown sect),Unknown,11th-12th century AD,Architectural style,Yes,None,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CKL01,Chikhli,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CNK03,Chanakha,Temple,Unknown,Brahmanical (Unknown sect),Unknown,Parmara,Associated Archaeology,Unknown,NA,Unknown,NA,NA,Remain of huge building,None,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
CRL01,Churul,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DBD01,Dabhadi,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DDG01,Dudhgaon,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DDH01,Dudha,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DDL04,Dudhala Village,Temple,"Hanuman temple, possible dating to the late medieval period",Brahmanical (Shaivite),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
DDW01,Dugdeshwar,Temple,The temple is buried in the soil,Unidentified,None,Medieval,Associated Archaeology,No,NA,No,NA,NA,Natural cave Underground tunnel below the temple.,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
DGA01,Dhaga,Cave,Unknown,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
DGR02,Dongri,Temple,South facing Hanuman temple,Brahmanical (Shaivite),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
DGT01,Deulghat,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DHR02,Dhanora,Temple,None,Brahmanical (Unknown sect),Unknown,12th century AD,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DTK02,Devtek,Temple,Ruins of temple with the pyramidal shikhar and features of mandap. Door frames (floral design) belonging to the temple is lying besides the temple.,Brahmanical (Shaivite),Unknown,Early Medieval,Architectural style,Yes,Two handed ganesh sculpture,Unknown,NA,NA,None,Ceramics (red ware and micaceous red ware),"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
DTR01,Dhotra,Temple,Hemadpanthi style,Brahmanical (Unknown sect),Unknown,Yadava,Architectural style,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
DWD02,Deulwada,Cave,"This rock cut cave is located on the southernmost end near the foot of a small hill of sandstone. This is a small cave with a Varandah that has a pillar in between and an internal cell/chamber is noticed. Except for a few cup marks on the floor of this cave, no sculptures were noticed. Dr. Meshram has reported a shell inscription in this cave. Below this rock cut cave is located a modern Hanumana temple. The rectangular platform of this temple is full of religious sculptures and sati stones. ",Unidentified,Unknown,Vakataka,Epigraphic Evidence,Unknown,NA,Yes,Unknown,Shank inscription,2 Medieval shaiva temples,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
DWD03,Deurwada natural cave,Cave,"Natural cave, with entrance chiselled and dressed in a rectangular fashion. Below this cave is located a Panchayat office from where a flight leads to this place.",Unidentified,Unknown,Unknown,NA,No,NA,No,NA,NA,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
DWD04,Deurwada medieval temple in the village,Temple,In the Central part of the Village a two Shiva temple with lots of Early Medieval sculptures were noticed. A part of this temple is recently renovated.,Brahmanical (Shaivite),Unknown,Early Medieval,Architectural style,Yes,None,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
DWD05,Deurwada Medieval temple and a Square structure with four pillars ,Temple,"Fortified Early Medieval Temple and a pillard monument. The fortified area: 50m x 41m. The area is flat and lots of dresses stones (some of them carvings) are visible in this area. At this site along with scuptural remains of shiva, nandi, brahma which are seen nearby the temple another structure is located about 20m from this temple (both can be given different site codes). This structure has finely carved four pillars with four uncarved rectangular slabs on the upper part. A few scuptures like Nandi and dressed stones are seen nearby this structure.",Brahmanical (Shaivite),Unknown,Early Medieval,Sculptures,Yes,"Shiva, Nandi and Brahma",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
DWD06,Deurwada Modern Hanuman Temple with old scuptures,Temple,This Modern temple is buit on a old stone platform under a Banyan tree. The stones used are rectangular and dressed. Many memorial stones (both hero and sati) of Medival period (date unknown) and a few religious scuptures are placed on the prephery of this rectangular platform.,Brahmanical (Shaivite),Unknown,Early Medieval to Muslim Maratha Period,Sculptures,Yes,"Memorial stones, scuptures of Ganesha, shiv linga, shiv and Parvati, Nandi etc.",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",Reused later on?,,,,,,,,,,,,,,,,
FPR01,Fatehpur,Temple,Temple remains,Brahmanical (Unknown sect),Unknown,Medieval,Unrecorded,Unknown,NA,No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GDG01,Gaydongri,Cave,Unknown,Unidentified,Unknown,Unknown,NA,Unknown,NA,Yes,Unknown,None,Unknown,Unknown,"Single cave, Undetermined",None,,,,,,,,,,,,,,,,
GDG02,Gudhegaon,Temple,"Shiv temple, containing a Hanuman sculpture. Possibly dating to the late medieval period",Brahmanical (Shaivite),Unknown,Late Medieval,Architectural style,Unknown,NA,Unknown,NA,NA,,,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
GGD02,Ghugusgad,Temple,"Brick built platform, possible tempe foundation",Brahmanical (Unknown sect),Unknown,Vakataka,Associated Archaeology,Yes,"Images of Vishnu, Lajjagauri, Narasimha, Mahissmardini",Unknown,NA,NA,,,"Single temple, Brahmanical (Unknown sect)",Possible temple within foritifed settlement,,,,,,,,,,,,,,,,
GGN01,Gogaon,Temple,An apsidal brick structure. The brick size of this  plinth is comparable to that from excavated remains.,Unidentified,Unknown,Vakataka,Unrecorded,Unknown,NA,Unknown,NA,NA,None,None,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
GGS02,Ghuggus,Cave,2 caves; 90ft and 80 ft area,Buddhist,N/A,Unknown,NA,Unknown,NA,Unknown,NA,NA,None,None,"Multiple cave complex, Buddhist",None,,,,,,,,,,,,,,,,
GID01,Girda,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GLI01,Giroli,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GMK01,Gaymukh,Temple ,"Temple is Hemadpanthi in style and has Garbhagriha, Antarala and Sabhamandapa. Garbhagriha has a Panchamukhi shivalinga and the ganeshpati is carved and on both side have sculptures of Dwarpala and Sevika. Antaral is rectangular in shape and either side there are sculptures.",Brahmanical (Shaivite),Unknown,Early Medieval,Architectural style,Yes,"Panchamukhi shiv linga, Hargauriganesh, Nrityaganesh",No,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
GNT01,Ganeshthola,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GPR02,Ganeshpur,Temple,Temple remains in the form of pillars.,Unidentified,Unknown,Unknown,NA,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
GPT01,Ghodpet,Temple ,Remains of temple like pillars.,Unidentified,Unknown,12th-13th century AD,Architectural style,No,NA,No,NA,NA,Unknown,Unknown,"Single temple, Undetermined",None,,,,,,,,,,,,,,,,
GRG01,Goregaon,Temple,None,Brahmanical (Unknown sect),Unknown,Yadava,Unrecorded,Unknown,NA,Unknown,NA,NA,Unknown,Unknown,"Single temple, Brahmanical (Unknown sect)",None,,,,,,,,,,,,,,,,
GRL01,Gaurala,Cave,This rock cut cave is carved on sandstone and is a single chambered cave with images of Narsimha and Ganesha. The floor of the chamber has a square trench with carvings of small figures all around. ,Brahmanical (Shaivite),Unknown,Vakataka,Unrecorded,Yes,Sculptures of Narsimha and Ganesh,Unknown,NA,NA,Unknown,The area around this monument is full of dressed stones and sculptures (GRL03),"Single cave, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
GRL02,Gaurala Ganesh Temple,Temple,This temple is located above the cave  about 5-6 meters away from the cave. There is a large Ganesha image at this temple. The temple also houses various beautifully carved scuptures.,Brahmanical (Shaivite),Ganesh,Late Medieval,Unrecorded,Yes,Ganesh and other sculptures,No,NA,NA,"Rock cut caves, and earlier temple remains",The area around this monument is full of dressed stones and sculptures (GRL03),"Single temple, Brahmanical (Shaivite)",None,,,,,,,,,,,,,,,,
