SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,Notes,,,,,,,,,,
BRI06,Bori,Architectural fragments (carved),"Fragmentary carved architectural fragments preserved on stone platform, itself constructed from earlier stone architectural fragments",Early Medieval,Stylistic,No,,,,,,,,,,,
BRT01,Barshi-Takli,Sculpture (single),"Mahavir sculpture(Chaturvishitika); 1 mt in height and 60 cm in width, image of mahavir is in standing position; lion depiction on either side, in between there is chakra (wheel), depiction of 24 thirthankaras around the image of Mahavir",13th century AD,Iconography,No,Presently in Nagpur Museum,,,,,,,,,,
BRT02,Barshi-Takli,Inscription (stone),"Belongs to King Hemadridev, who ruled from Tekkli (Present Barshi Takli). This copper plate insciption provides useful information regarding the geneaology of kings ruling from Tekkli.","7th April, 1177 AD",Epigraphic evidence,No,None,,,,,,,,,,
BTL06,"Bhatala (Bhavani Temple, Ganesha Image)",Sculpture (single),Image of Ganesh,Unknown,NA,No,None,,,,,,,,,,
BTL07,Bhatala (Gate Near Shiv Temple),Architectural fragments (carved),Thorana with Gajalaxmi and is highly ornated,Unknown,NA,No,None,,,,,,,,,,
BTL12,Bhatala (Hanuman Image),Sculpture (single),The image is carved out of sandstone and is intact.,Unknown,NA,No,None,,,,,,,,,,
CCL02,Chicholi,Sculpture (single),"Hanuman, Nandi and
Siva- linga

",Unknown,NA,No,None,,,,,,,,,,
CKD05,Charkurda,Sculpture (single),"Fragmentary stone sculpture, preserved in modern temple structure",Early Medieval,Stylistic,No,,,,,,,,,,,
CKD06,Chandankheda,Seal impression,"Terracotta seal (Size-50 cm, Shape- round, weight- 30.27 gms) with the legend ""Sri Rudasa [-] sa"" in Brahmi Characters.",1st century B.C- 1st century AD,Epigraphic evidence,No,None,,,,,,,,,,
CKD07,Chandankheda,Seal impression,"Terracotta sealing with four line legend read as ""Ramnyo Siri Satakarni Tisa Sawachhare Sawa tobhada Daanamukhasa ka paasasa ka Tukaara"" (The seal of Kapaasa, the chief at the Sarwatobhadra Daana [a brahminical ceremony, dated] in the 30th year of king Satakarni). Below the inscription are three symbols: a sacrificial post (Yupa) in railing, a triangle- headed standard and a modified Ujjain symbol.",Satavahana (1-2nd century AD),Numismatics,No,Found by Surendra Singh Gautam of Chandrapur.,,,,,,,,,,
CKK01,Chikani Kasba,Inscription (unknown type),Unknown,11th-12th century AD,Not specified,Unknown,None,,,,,,,,,,
CMK02,Chamak,Inscription (copperplate),"This copper-plate charter of Pravarasena II was discovered in 1868 during the ploughing of a field at the village of Chamak.

Chamak, in ancient times known as Charmanka, is located four miles south west of Illichpur; (Ellichpur or Illychpur), the old name for Achalpur.

The inscription, incised on seven plates and with an attached seal, records the donation of the village of Charmanka by Pravarasena II at the request of Kondaraja. The donation was given to 1,000 Brahmanas of various sects and schools, and the charter lists 49 of these donees by name.  The charter was issued in the 18th year of Pravarasena II reign. (Shastri, p. 16-18)

The charter is now in the collection of the British Library registered under the Oriental Manuscript shelfmark: Ind. Ch. no. 16.
wikipedia page (http://en.wikipedia.org/wiki/Chamak_copper_plates)",Vakataka,Epigraphic evidence,Yes,None,,,,,,,,,,
CPL02,Chaprala,Sculpture (single),Unknown,Unknown,NA,No,None,,,,,,,,,,
CPL03,Chaprala,Architectural fragments (carved),Unknown,Unknown,NA,No,None,,,,,,,,,,
DGG01,Dongargaon,Inscription (stone),This stone inscription mentions the donation of Dongargaon to a  Brahmin named Shrinivas by Parmaera king Jagdev. Also it talks about the construction of shiv temple by the same brahmin. The inscription is inscribed by Vishvaswami. It also records the geneology of Parmaras.,1112 AD,Epigraphic evidence,No,None,,,,,,,,,,
DMP01,Dharmapuri,Sculpture (single),Jain Chatuvrinshathika. The image is sitting in padmasan on Sihasan and around it there are small images of 23 thirthankaras.,Unknown,NA,No,Found in the land of Mr. Tularam Chopramji Khotle near the lake.,,,,,,,,,,
DPR01,Dauripur,Sculpture (multiple),"Loose sculptures of Hanuman, naga, Nandi and some unidentified pieces",Unknown,NA,No,None,,,,,,,,,,
DTK01,Devtek,Inscription (stone),Two inscription on same rock; one of Ashoka (Prakrit Language) and other of Vakataka king Rudrasen I; 9 ft in length and breadth 3 1/2 on one side and 2 ft 10 inch  ,Mauryan and Vakataka,Epigraphic evidence,No,Shifted in Nagpur Museum by S M Subbarao in 1937 ,,,,,,,,,,
DTP01,Dathpur,Sculpture (single),Buddha sculpture of Mathura style. Head is lost and carved in red sandstone,Gupta- Vakataka,Iconography,No,Affinities with Gupta Style,,,,,,,,,,
DTR02,Dhotra,Sculpture (multiple) and architectural remains,"Sculptures of Chamunda, Ganapati, Bhairava, Uma-Mahesvara and Parvati, fragments of door-frames with male and female figures and a monolithic jar",Yadava ,Iconography,No,None,,,,,,,,,,
DVL01,Devli,Inscription (copperplate),"This copper plate inscription belongs to  Rashtrakutta king, Krishna III and is inscribed by Yograshtay (language- Sanskrit and script-devnagri ). It records the donation of village Talpurunshak (in Nagpur-Nandivardhan) to a brahmin by Rashtrakutta king Krishna III in the name of his brother Jagthung from his capital Manyakhet. It mentions the full geneology of Rashtrakuttas. ",940-41 AD,Epigraphic evidence,No,None,,,,,,,,,,
GGD02,Ghugusgad,Sculpture (multiple),"Fragmentary sculptural representations of Vishnu, Lajjagauri, Narasimha, Mahissmardini",Vakataka,Stylistic,No,"Sculptures found displaced from original context, but associated with settlement, dam, possible temple remains, and find spot of coins
",,,,,,,,,,
GPG02,Gorakhpur Ghat,Seal stamp,"Made up of irregular rectangular shaped soapstone of 3.4 cms length,  1.6 cms in breadth and 0.8 cm in thickness with legend in box headed brahmi as Drihtam.",Vakataka,Epigraphic evidence,No,A. M Shastri and C S Gupta are of opinion that the seal belongs to Pravarsena II of Nandivardhan branch.,,,,,,,,,,
GRD01,Gaurkheda,Inscription (copperplate),"Originally 3 plates; found 1 plate of 18 cm in height, 8.9 cm in width and 161 gm in weight; box headed script; sanskrut language.",Rashtrakutta,Epigraphic evidence,No,Two plates are missing as a result there is confusion in prescribing date ,,,,,,,,,,
HLP01,Hamlapuri,Sculptures (multiple) and Inscription (stone),"3 Buddha sculptures in bronze; two are with a pedestal one of which is inscribed on all four sides. The insciption is sanskrit language and is in Nail Headed Brahmi characters. Inscription is read as: ""(Sidham) (I) Dey Dhammiryam Shkhyabhi; Sho Bhtrad (Bhadant) Sangsenasya; Yadtra Punya (ta) Da (Bha) Vatu; Maa (Tapitro) (:) (III)"" ",5th Century AD,Epigraphic evidence,No,Shifted in Nagpur Museum  ,,,,,,,,,,
HLP02,Hamalapuri,Sculpture (multiple) and architectural remains,"Displaced sculputral remains - two Lajja Gauri images, preserved in construction of modern shrine platform. Stone images of Ganapati, Lajja-Gauri, Mahishasurmardhini, Matrudevta, Vishnu head and other fragmentary stone sculptures",Vakataka,Iconography,No,It is not clear whether these stone images are reported from Nandapuri or Hamlapuri in IAR 1981-82:50,,,,,,,,,,
HLP04,Hamlapuri,Sculpture (single),"Large 5th century Ganesh sculpture and two Lingas  now housed in a modern temple, next to the paddy fields at the location of the Hamlapuri test excavations. ",Vakataka,Iconography,No,Unclear whether this area forms part of the original habitation mound due to destruction and modern development. ,,,,,,,,,,
HLP05,Hamlapuri,Sculpture (single),"Sculptures include: mother Goddess figurine with round base, lower part of seated goddess with dagger in right hand, fragment of linga, fragment of decorative plaque with floral and creeper designs, and stone linga",Medieval,NA,No,Found during the exploration of Hamlapuri Village. Mistakenly attributed to the Vakataka period by Bhaisare,,,,,,,,,,
HLP07,Hamlapuri,Sculpture (single),"Fragmentary stone sculpture, unidentified and undated. Currently preserved in a private house, and reportedly found near the Ganesh shrine in the modern village",Unknown,NA,No,,,,,,,,,,,
HSB01,Hisse-Borla ,Inscription (stone),"Stone inscription of the Vakataka king Devasena; records the construction of the lake Sudarsana by Svamilladeva, ajnakara of Devasena. ",Samvat 380 ,Epigraphic evidence,No,Provides fresh evidence for fixing Vakataka chronology on a sound basis.  ,,,,,,,,,,
HTD01,Hatodi,Sculpture (single),"The image is made up of red stone in round and is one foot in height. The God Sürya is standing, facing forward, holds a small bunch of lotus flowers with short stalks in both hands, raised to the level of his shoulders. The upper part of his body is covered with full-sleeve clothes and a scarf is draped over the arms. The figure is very unique in the sense of carving. Images of such type are never seen not only in this area but all over India. The image is probably a product of the Mathura School.",Late Gupta period (around 7th century A.D),Iconography,No,"During the repairs of the Chinchala-Hatodi road, a figure was dug out by Shri Ganbaji Chavan in 1979. This image was first noticed by Shri Chandrabhan Narnaware, in his treatise entitled ""Bodhisattva"".",,,,,,,,,,
HVR03,Hivra,Sculpture (single),"Fragmentary stone sculpture, badly eroded. Preserved in modern shrine.",Early Medieval,Stylistic,No,,,,,,,,,,,
IOC01,India Office Copper plate inscription of Devasena,Inscription (copperplate),"This single plate of a charter issued by Devasena is part of the India Office collection but its origins are not known. It is not known where the plate was discovered or how it came to be part of the India Office Collections or if the rest of the charter still exists.<BR>According to the single plate of the charter, it was issued at Vatsagulma and starts immediately by citing Devasena's order of the grant. The inscription records the donation of a village (unidentified) to two Br?hma?as Dharmasv?min and Bhavasv?min of the ????ilya gotra. According to Shastri the exact location of the donated land is not known but may possibly be in the Akol? district. (Shastri, pp. 40-41)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
JBD04,Jafrabad,Sculpture (single),Unknown,Unknown,NA,No,None,,,,,,,,,,
JKH01,Jakh,Sculpture (single),Unknown,Unknown,NA,No,None,,,,,,,,,,
JMB01,Jamb,Inscription (copperplate),"The Jamb copper-plates were discovered in 1940 in the possession of an individual named Baburaro Madhavrao Athole in Jamb, about 7 miles north by east of Hinganghat. (Mirashi, p. 10)

The charter records the donation by Pravarasena II to a Brahmacharin called Kalakutta. The charter donates the village of Kothuraka to Kalakutta.  The charter was issued in the 2nd year of Pravarasena II reign. (Shastri, p. 11-13)

Mirashi identifies the donated village of Kothuraka with the site on which Mangaon now occupies, 2.5 miles north by west, on the right bank of the Wunna (p. 11) although Shastri states that the village cannot be identified (p. 13).",Vakataka,NA,No,None,,,,,,,,,,
JPL02,Japala ,Sculpture (multiple),"Fragmentary stone sculptures, preserved in modern temple structure",Early Medieval,Stylistic,No,,,,,,,,,,,
KBL01,Kumbhali,Sculpture (multiple),Three jainThirthankar in standing in Kayotsarg Mudra; one in Padmasana and two small images. This sculptures are kept near modern durga temple.,Unknown,NA,No,None,,,,,,,,,,
KKD04,Karachkheda,Sculpture (multiple),"Loose sculptures of Hanuman, Nandi, linga
and some unidentified pieces
",Unknown,NA,No,None,,,,,,,,,,
KLP03,Kholapur,Clay bulla,Roman clay Bullae with embossed head of a male deity on one side and embossed figure of a king seated on throne with his sword behind on the other side.,Early Historic,Not specified,No,None,,,,,,,,,,
KLZ01,Kelzar,Sculpture (single),"Vishnu sculpture; height -3 1/4 ft; four handed, standing position; Karand Mukut; narration of dashavtar on the border of the sculpture. Ornate; Ayudh purush standing on either sde ",11th-12th Century AD,Iconography,No,None,,,,,,,,,,
KMR03,Kolithmara,Sculpture (single),Buddha sculpture,Unknown,Unknown,No,None,,,,,,,,,,
KTL01,Kothali,Sculpture (single),Monolithic elephant,Yadava ,Iconography,No,None,,,,,,,,,,
KWD07,Kawadak,Architectural fragments (dressed stone),"Two sandstone architectural fragments, preserved at a modern house. Reported to have been unearthed in adjacent fields. Possibly associated with associated habitation site indicated by surface scatter of pottery and bricks",Unknown,NA,No,,,,,,,,,,,
KWD09,Chabutra,Architectural fragments (carved),"Fragmentary carved architectural fragments preserved on stone platform, itself constructed from earlier stone architectural fragments",Early Medieval,Stylistic,No,,,,,,,,,,,
LHR01,Lohara,Sculpture (multiple),"images of Sarasvati, a royal personage, Siva and Parvati, ascetic, Nandi and a viragal (hero stone). ",Yadava ,NA,No,None,,,,,,,,,,
LHR02,Lohara,Inscription (copperplate),Following copper plate (Sanskrit Language; Devnagri script in north indian style) records the donation of village Lohara (in Murumb) to Rishiyappbhatt by Rashtrakutta king Govind III from Mayurkhandi.,"9th November, 812 AD",Epigraphic evidence,No,None,,,,,,,,,,
LWS01,Lawesar,Sculpture (multiple),"Loose sculptures of Nandi, Siva-linga and some
unidentified pieces
",Unknown,NA,No,None,,,,,,,,,,
MDA01,Mendha,Sculpture (single),"10 ft 4 inch in ht with Jattamukut, Sukhasan Position; four armed with Parshu, Ankush, Modak, and fourth hand in Varad (Blessing)",12th century AD,Iconography,No,"According to Chitale (Chitale 1988:170), the sculpture is not of Ganesh but Brushandi Rishi (Brushindi saint) ; who according to mythology was changed to Ganesh face after the penance. ",,,,,,,,,,
MGH02,Mangulhira,Sculpture (multiple),Sculptures of Uma Maheshwar and Ganesh,Unknown,NA,No,None,,,,,,,,,,
MGN01,Manegaon,Sculpture (multiple),"Loose sculptures of Hanuman, Nandi and some unidentified pieces",Unknown,NA,No,None,,,,,,,,,,
MHR01,Malhara,Inscription (copperplate),"4 plates are available (originally 5 plates); 17.6 cm in length and 9.7 cm in width, 900 gm weight; Box headed brahmi script; Sanskrit language;",Post Satavahana and Pre Vakataka,Epigraphic evidence,No,"Belonging to unknown king ""Aditya""",,,,,,,,,,
MKD16,Markanda,Sculpture (single),"Old square monolith, carved with male figure with four arms, carrying a battle axe and attended by two female figures. A snake encircles his waist, which may serve to identify him with Siva, but no other traces of this God are apparent. Above this figure is an inscription, of which only three letters survive (pra-ya-Sri). These can be dated to the fifth or sixth century AD",5th-6th century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
MKD17,Markanda,Inscription (stone),"Engraved on a rock-boulder in the compound of the Markandesvara temple, this two-line Sanskrit inscription, in northern characters of about the seventh century A.D., reads : (1) anuragah priyapurnna[h] and (2) Bappanaga-sri[h].",7th century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
MKD18,Markanda,Inscription (pillar),"Square monolith with molded capital, inscribed on three faces. Its characters are somehwat older than those of a nearby carved monolith (MKD16 in this record), and can be dated to the sixth or seventh century AD. The two lines of the left face of the pillar apparently forms a distinct record, of which the latter hald of the second line is in much smaller characters. The main record begins at the top of the middle face with the words 'Swasti Sri'.  Further details can be found in Cunningham's report",6th-7th century AD,Epigraphic evidence,Yes,None,,,,,,,,,,
MLL01,Mohalla,Inscription (copperplate),"This plate, which is unfinished, was found in the village of Mohalla in the Durg district of Chhattisgarh. The details of the charter are not recorded in the inscription as it is not finished. According to Shastri (p. 6) the plate is possibly dated to the reign of Prithivisena I.

Mirashi refers to this plate as the Durg plate. (CII, vol V, pp. 76-78) The plate is now part of the collection of the Central Museum, Nagpur.",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
MMP01,Mahimapur,Architectural fragments (carved),Carved pillar with floral motiff made up of sandstone.,Early Medieval,Architectural Element,No,None,,,,,,,,,,
MND05,Mandhal ,Sculpture (multiple),3 shaiva images,Unknown,NA,No,None,,,,,,,,,,
MND09,Mandhal (Maruti Temple with a Ganesha figure),Sculpture (single),"Ganesha image, carved on sandstone and recently found in this tank, is currently lying next to the temple wall. ",Early Medieval,Iconography,No,None,,,,,,,,,,
MND10,Hanuman Mandir,Sculpture (multiple),There is a small hanuman temple located in the modern village of Mandhal. This temple which has a brick boundtry wall also has a stone platform. ,Unknown,Unknown,Unknown,NA,Yes,"Lots of images such as Nandi, shiv Linga and other unidentifiable images (most of the images are worn and some are broken as well as white washed).",None,NA,None,Temples,Unknown,"Single temple, Shaivite?",None,None
MND12,Mandhal,Sculpture (single),Naked Mother Goddess with spread out thighs and having attendants.,Not specified,NA,No,Possiblly representing fertility cult. ,,,,,,,,,,
MND13,Mandhal,Inscription (copperplate),"This set of five copper plates were discovered during archaeological excavations undertaken at Mandhal by the Department of Ancient Indian History, Culture and Archaeology, Nagpur University. These plates were discovered with two other Vakataka copper plate charters. Each charter was complete with ring and seal attached.

The copper plate charter, inscribed on four plates, records the donation of the village Govasahika to four Brahmanas, two, Mahesvarasvamin and Brahmasvamin, are also mentioned in the Mandhal copper plate charter of Prithivisena II, year 2.  Shastri argues that the three plates found at this site record donations by two Vakataka kings to two generations of the same family (Shastri 1989 b: 99-103).",10th regnal year of Prithvisen II,Epigraphic evidence,Yes,None,,,,,,,,,,
MND14,Mandhal,Inscription (copperplate),"The charter consists of four plates, which were found in an earthen vessel during excavations, along with two other Vakataka period copper plate inscriptions. The charter was issued in the second year of Prithivisena II reign and was found complete with ring and seal - providing the earliest known complete example of a copper plate charter from the reign of Prithivisena II. The charter records the donation of the village Kurubhajjaka by its chief to three brothers, Mahesvarasvamin, Agnisvamin and Brahmasvamin, sons of Matrisvamin. Two of these brothers are also the benefactors of the Mandhal copper plate of Prithivisena II and Matrisvamin was the donee of the Mandhal copper plate of Pravarasena II. (Shastri, pp. 97-99)",2nd regnal year of Prithvisen II,Epigraphic evidence,Yes,None,,,,,,,,,,
MND15,Mandhal,Inscription (copperplate),"This set of five copper plates were discovered during archaeological excavations undertaken at Mandhal by the Department of Ancient Indian History, Culture and Archaeology, Nagpur University. These plates were discovered with two other later Vakataka copper plate charters. Each charter was complete with ring and seal attached.

This charter was issued from Pravarapura and it records the donation of the village Mayasagrama in favour of Upadhyaya Matrisvamin by Pravarasena II. The charter dates to the 16th and 17th year of Pravarasena II reign, with the first date recording the year when the donation was made and the second year recording when the charter was written and issued.

According to the inscription one third of the religious merit of the donation is to go to Ajnakabhattarika, mother of Narendraraja, although it is not known who these two people are.

According to Shastri, the identification of Mayasagrama is not possible at present, but it is also not possible to rule out Mandhal  as the possible location of the ancient village. (Shastri, pp.88-90)",16th and 17th regnal year of Prithvisen II,Epigraphic evidence,Yes,None,,,,,,,,,,
MND16,Mandhal,Inscription (copperplate),"This set of four copper plates was discovered during the ploughing of a field in the village of Mandhal in 1982. The plates, which date to the 5th year of Rudrasena II reign, record the donation of four villages, Selludraha, Achchhabhallika, Suragramaka and Aragramaka, which were used as a Brahmana settlement, occupied by various Brahmana's from different sects.

The charter was written by Senapati Vibhishana for Rudrasena II, and is stated to have been issued by the King himself following a command from a form of Visnu.

Records so far do not specify in which field the copper plates were discovered. (Shastri, pp. 85-88)

location of Mandhal according to Geolysis. (http://www.geolysis.com/plgmap.php?p=536011443&k=621803054)",5th regnal year of Rudrasena II,Epigraphic evidence,Yes,None,,,,,,,,,,
MND17,Mandhal,Sculpture (single),"""Two armed image, right arm broken, left hand holds water vessel, the deity is without ornaments, elongated earlobes are pierced, the head on the reverse has a third eye, upavita is missing, the dhoti is rolled into a ribbed belt. There are three tiers of head: the four heads of the first tier conform the the quadruple form of Shiva.""",Last quarter of 4th Century A.D.,Iconography,No,It is possible that the image was the main idol of the excavated temple MLD-II which is oriented North South.,,,,,,,,,,
MND18,Mandhal,Sculpture (single),"""This is a four-armed image with four heads. The legs are broken off the knees, the top right arm has disappeared almost completely, the top left arm is preserved until the elbow, the left hand holds a shaft, , the waist is wrapped in a dhoti, a slender belt skirts the hips and passes around the back, an erect penis is distinguishable underneath the dhoti.""",4th century AD,Iconography,No,The conception underlying this image is different from that of the Mahesvara image. The image shows a striding stance of danda and sulas howing it has the protective funcution and it may be compared with the guardian god Danda found at the bottom of pillar at Mathura.,,,,,,,,,,
MND19,Mandhal,Sculpture (single),"""It is Gana image with four arms, the left rear arm is intact until the elbow, the right arm is completely broken off. Tresses of matted hairs on the top of the head, parted in middle, turned into long snail-shell curls which cascade down on to the back; the crown is covered by flower rosette. The elongated pierced ear lobes are decorated by earrings which rest on the shoulders. The Image wears a collar around the neck that is marked by three lines , jwelled bracelets. The dhoti is wrapped tightly around the thighs, indicated by two parallel double lines, and twisted around the waist into a katibandhana, showing an urdhvalinga beneath.""",4th century AD,Iconography,No,The image may have a guardian funcution in the Mahesvara Temple MLD-II,,,,,,,,,,
MNP01,Manapur,Sculpture (single),"Fragmentary stone sculpture, preserved in modern temple structure",Early Medieval,Stylistic,No,,,,,,,,,,,
MNS02,Mansar,Inscription (stone),"Short inscription on a
rectangular stone chunk on the northern slopes of the Hidimbachi tekadi.The stone chunk looking like a slab is actually
part of a big boulder peeled off as a result of weathering. The slab is about 2 m x 1.5 m with a maximum
thickness of about 20 cm. The inscription in typical Sankha lipi, is engraved on the right side bottom
of the slab and runs obliquely with three or four chain-like characters. One of the characters (top one)
is circular and engraved in bold type.",3th-4th century AD,Epigraphic evidence,No,None,,,,,,,,,,
MNS03,Mansar,Sculpture (single),Unknown,Satavahana,Iconography,No,None,,,,,,,,,,
MNS05,Mansar copper plate,Inscription (copperplate),"Shastri refers to this plate as the Mansar plate (p. 36-37) whilst Mirashi refers to the plate as the Ramtek plate (p.73-75).

The plate, the fourth of a five plate charter, was discovered whilst digging for manganese in the area. It is not know where the donated areas are or where the plate was issued.  Mirashi believes that the plate dates to the time of Pravarasena II due to similarities with known charters of this time, but Shastri argues that these similarieties can also be seen in other charters of different rulers and so cannot be considered to be certain. (Shastri, p.36-37)",Vakataka,Epigraphic evidence,No,None,,,,,,,,,,
MNS06,Mansar,Sculpture (single),12 Headed Shiva Image called Davadasa Sirsaka Siva. The Eight heads are shown on the top and remaining four are on the arms and thighs.,4th Century AD.,Iconography,No,Sarma has traced the origin of the maultifaced images of siva citing the earliest five faced sivaliga from Bhita near Kausambi.,,,,,,,,,,
