SiteCode,SiteName,MegType,MegDescription,MegNotes
STN01,Satona-Wadegaon,StoneCircle,stone circles and menhir,Unknown
SWK01,Sawalkheda,StoneCircle,25 stone cirlces,Unknown
SWT01,Sawartola,Menhir,menhir,Unknown
TKL02,Takli,StoneCircle,stone circle enclosing cairns,Unknown
TLT01,Tilota Khairi,StoneCircle,stone circles and dolmen,Unknown
UBR01,Umbari,StoneCircle,stone circles,Unknown
UDS01,Udasa,StoneCircle,stone circles,Unknown
UMR02,Umri,StoneCircle,stone circles,Unknown
UMR03,Umrer ,StoneCircle,stone circles,Unknown
URD01,Uradi,StoneCircle,30 stone circles,Unknown
VDG01,Vadgaon,StoneCircle,stone circles,Unknown
VGN01,Vagnak,StoneCircle,stone circles,Unknown
VHD02,Vyahad,Cairns,around 20 cairn circles; There are around 100 megalithic burials at the site and a huge habitation mound with remains extending from the megalithic period up to the British period. One of the excavated burials had a central rectangular chamber and another inner circle encircling it. Burial goods such as iron and copper objects along with horse ornaments were found during the excavation. Even here peripheral burials were found.,Unknown
VLT01,Veltur,Megalith(Unknown),unknown,Unknown
VRG03,Vairagad,StoneCircle,stone circles,Unknown
VTD02,Vathoda,StoneCircle,stone circles,Unknown
WAG02,Wag,Megalith(Unknown),unknown,Unknown
WDG01,Wanadongri,StoneCircle,stone circle enclosing cairns,Unknown
WRR01,Warora,StoneCircle,Stone circles associated with balck slipped ware,Unknown
YMN01,Yermanar,StoneCircle,10 stone circles,Unknown
YRG01,Evranga,StoneCircle,20 stone circles,Unknown
GDN01,Godhani,Megalith(Unknown),Unknown,Unknown
KMW01,Kalmeshwar,Megalith(Unknown),Unknown,Unknown
NMJ01,Nimji,Megalith(Unknown),Unknown,Unknown
PPL01,Pipla,Megalith(Unknown),Unknown,Unknown
TKG01,Takalghat,,,
