SiteCode,SiteName,FindType,Description,DateRecorded,BasisOfDate,InSitu?,ContextNotes,Number,Metal,Weight (g),Diameter (cm),ObverseDescription,ReverseDescription,Issuer,TypeNumber,ImageID,Note,Location
ARV01,Arvi,Coin Hoard,14 silver coins of different rulers of Western Kshatrapa dynasty,Western Kshatrapa,On unspecified Numismatics ground,No,None,14,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,11 coins are deposited in the Nagpur Museum
AVT01,Amravati,Coin Hoard,"""It seems that the hoard included exclusively the coins of one Kshatrapa, who is named as Mahakshtrapa Rudrasena, son of Mahakshatapa Damajadashri."" (Gupta 1956: 220)",Western Kshatrapa,On unspecified Numismatics ground,No,None,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mahakshatapa Damajadashri ?,Unknown,None,"""The identification of the legend on these coins seems doubtful. None of the three Damajadashris is known to have a son named Mahakshatrapa Rudrasena from any other source. On the other hand Rudrasena I had a son named Damajadashri II, but then he is not known as Mahashatrapa."" (Gupta 1956: 220)",Unknown
BDN01,Buldana,Coin Parcel,Unknown,Indo-Sasanian,On unspecified Numismatics ground,No,None,6,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in Nagpur Museum
BDR01,Bhandara,Coin Hoard,"Coins made by Repousse technique. ""Twelve gold coins of Mahendra-ditya and Prasannamatra were reported"" (IAR 1954-55: 63);  ""a coin of Shri-Mahendraditya and 11 coins of Shri-Prasannamatra"" (Jain et al 1954 : 216). ",Early Medieval,Legend,No,None,12,Gold,Coin no. 1) 17.3 grains (Jain et al 1954 : 216); Coin no. 2-12) 16.7 to 16.9 grains (Jain et al 1954 : 217),Coin no. 1) 0.74 (Jain et al 1954 : 216); Coin no. 2-12) 0.71-0.72 inches in diameter (Jain et al 1954 : 217).,"Coin no. 1) Inside the circle of dots along the edge Garuda standing on a horizontal line with wings spread out, to his proper right are the crescent moon with a round dots above, and a Chakra encircled by dots; and to his proper left are the so called sun symbol and a Shankha opening to the right. Below the line there is the legend "" Sri Mahendraditya"" in the box headed variety of the Brahmi script of the southern class. Below the letter ""Ma"" of the legend is the letter ""Sha"" clear on the enlarged photo (Pl.IV.1) the letter ""he"" of the legend stands a cluster of seven dots""(Jain et al 1954 : 216). Coin no. 2-12) There are two varieties of coins of Prasannamatra; Variety 'A' :- Upper half as above, below is the legend ""Sri Prasannamatra""; and below it the letter ""sa"" of the legend a cluster of six dots (3 coins). (Pl.IV, 4,5,10).  Variety 'B':- As above but a ""Ghata"" below the letter ""sa"" of ther legend in place of the cluster of dots. The ""Ghata"" is of two types, one with a cover above and, the other without it. (8 coins) (Pl.IV, 2,3, 6-8, 10-12). (Jain et al 1954 : 217)",Coin no 1-12) Blank, Shri-Mahendraditya and Shri-Prasannamatra,Unknown,"Pl.IV.1; Pl.IV.2, 3, 4, 5,6,7,8,10, 11, 12 (JNSI, XVI-II)",,Distributed in various museums in India.
BDR02,Bhandara,Coin Hoard,Punch Marked coins,Early Historic,"Coins belongs to the series as mentioned in the ""Type number"" column",No,None,66,Silver,Unknown,Unknown,"One interesting coin from this hoard have 5 symbols on the obverse. These symbols are Sun, Shadarachakra, Crescent on hill, four fish in the tank and the Ulaka (owl),",Blank,Unknown,Belong to 2 and 6 of BMC,"Pl. IV. B,I (JNSI, X-I)",The hoard also brought forth an unique coin with an owl as fifth mark.,65 coins are deposited in the Nagpur Museum. 
BDR04,Bhandara,Associated coin(s),Unknown,Early Historic,Depiction of Motifs,No,None,1,Unknown,Coin no.1) 1.21 grams,Coin no.1) 14 x 14.5 mm,"Coin no.1) ""Four punches of three different symbols. The punch showing elephant walking to left is at the the top. The one with tree is at the bottom and a geometrical symbol consisting two taurines, one crescent and a dot is repeated twice on the left and right portions of the coin."" (Kulkarni 2005 (NS, 7): 26-27)",Coin no.1) Blank,Unknown,Unknown,"Pp 26 and 27 (NS,7)",None,In the collection of Gopal Zavar.
BDV02,Bhadravathi,Coin Hoard,"""Gold, 17+ ornament, 3 (out of which 9 were acquired) "" (Jain 1957: 19)",Western Chalukyas,On unspecified Numismatics ground,No,None,17+,Gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Pl.II.4-6 (JNSI, XIX)",,9 coins are deposited in Nagpur Museum.
BKL02,Bhatkuli ,Associated coin(s),"Coin with legend- ""Rajna (Mahakshatrapa Bhartidama Putrasa) Rajna Kshatrapasa Vishwasena"".",Western Kshatrapa,"Legend mentions the name of the king (see ""Description"" or ""Reverse Description"" columns)",No,None,Unknown,Unknown,Coin no. 1) 1.7 gm ,Coin no. 1) 1.3 cm.,Coin no. 1) Bust of the king to right; no letters round the edge; symbols of date behind the ear cut off.,"Coin no. 1) Three arched hill, with a crescent on the left. No star on the right. Only part of the following legend legible- ""Rajna (Mahakshatrapa Bhartridama-putrasa) Rajna Kshatrapsa Vishvasena"".",Kshatrapa Vishvasena,Unknown,"Pl. IV,1 and 2 (JNSI, XXX)",None,This coin was provided by Y. K. Deshpande to the author for its publication.
BMP01,Brahmapuri,Coin Hoard,Unknown,Satavahana,On unspecified Numismatics ground,No,None,143,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,None,Unknown
BMP02,Brahmapuri,Coin Hoard,Unknown,Satavahana,On unspecified Numismatics ground,No,None,183,Potin,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,"Three kings, namely, Sri Satakarni III, Sri Pulumavi and Sri Yajna Satakarni were represented in the hoard.","Deposited in Nagpur Museum, Indian Museum Calcutta and British Museum London."
CDP01,Chandrapur,Associated coin(s),Unknown,Early Historic,Legend mentioning the name of the City state and motifs,No,None,3,Copper,Coin no.1) 0.92 gram; Coin no.2) 1.56 gram; Coin no.3) 0.42 gram,Coin no.1) 12 x 14 mm; Coin no.2) 10 x 11 mm; Coin no.3) 10 x 10.5 mm,"Coin no.1) ""A sampling with five leaves in railing with brahmi legend to the left side in five bold characters: ""Bhaddavatiya""; Coin no.2) ""A sampling with five leaves in railing with brahmi legend to the left side in five bold characters: ""Bhaddavati (ya)""; Coin no.3)  A rectangular punch containing four bold Brahmi characters ""Bhadavato"".(Kulkarni 2004 (SSIC, XIV): 19-20)","Coin no.1) ""Bold elephant walking to right with upraised trunk""; Coin no.2) ""Bold elephant walking to right with upraised trunk. Four symbols on the top of the elephant. Starting from left, part of an unrecognisable symbol, a dot within a circle, triangle headed standard, a wheel with six spokes."" Coin no.3) ""Blank"". (Kulkarni 2004 (SSIC, XIV): 19-20)",Unknown,Unknown,"Pp 20 and 21 (SSIC, XIV)",None,Possibly in the Collection of Prashant Kulkarni.
CHD04,Chanda,Associated coin(s),"Aureus of Julius Caesar. ""The coin published here was struck around B.C. 49, probably at a private mint.""",B.C. 100-44,Lifespan of Julius Caesar,No,None,1,Gold,Coin no. 1) 8.015 gms,Coin no. 1) 1.95 x 2.00 cms,"Coin no. 1) ""C. CAESAR, COS. TER.""","Coin no. 1) ""A IHRTIVS. PR.""",Julius Caesar,Unknown,"Pl. II-6 (JAINS, IV)",None,Possibly in the Collection of Prashant Kulkarni.
CNK01,Chanakha,Coin Hoard,"""All 554 coins are in uncirculated condition and out of them 129 coins are blank, only mark to embross the design"" (Thakur 2009 (no.20): 1). Coins are ""Square with rounded corners""  (Thakur 2009 (no.20): 2)and are found in copper container.""These coins are popularly known by the name of 'Padmatankas' (Thakur 2009 (no.20): 1).",Parmara (11th century AD),Legend in the 11th century AD Nagari script,No,None,554,Gold,Coin no. 1) 3.60; Coin no. 2) 3.65; Coin no. 3) 3.70 gms,Coin no. 1) 18 x 18 mm; Coin no. 2) 19 x 19 mm; Coin no. 3) 20 x 20 mm,"Four punches, a symbol like Linga on vedi in one punch. In two punches a doom like symbol with dots in each punch (Kannada Sri) and in the fourth punch legend in the 11th century AD Nagari ""Sri Jagdev"". (All coins from the hoard)",Blank (All coins from the hoard),Parmara king Jagadeva. ,Unknown,"Pp. 2 (CCS, No 20)",None,Deposited in Government treasury.
DHG01,Dahigaon,Coin Hoard,"""The hoard contains thirty-six coins, of which ten belong to the Traikuta king Dahrasena and the remaining Twenty-six to various western kshatrapas""..... ""The latter are much worn and as in almost all cases the blank was smaller than the die, only few letters have come out on them."" Some of the legends from coins are as are below: ""Rajna Kshatrapasa Rudrasimha-putrasa Rajna Kshatrapasa Samgadamanh""; ""Rajna Mahakshtrapasa...putrasa Rajna Mahakshatrapasa Vijayasenasa""; 1) "".......Damajadasriya"" 2) ""......Kshatrapasa Damajadasriya""; 1) ""Rudrasena-putrsasa Rajna Maha Kshatrapa [Bhartridamanah]"" 2) ""Rudrasena-putrasa Rajna.....""; 1) ""Kshatrapasa Bhartridama-putrasa......[Vishvasena]""; 2) ""......Kshatrapasa Bhartridama-putrasa......""; 3) ""Rajna Mahakshatrapasa [sa......] Visvasenasa"". (Mirashi 1973: 119)","Western Kshatrapa, Traikutas","Name of the ruler mentioned in the legend (See ""Description Column"")",No,None,36,Silver,Unknown,Unknown,Unknown,Unknown,Traikuta king Dahrasena and western kshatrapas,Unknown,"Pl. XII, 2 (JNSI, XXXV)","Dahrasena was contemporary of Vakataka king, Narendrasena","Department of archaeology and archives, Maharashtra."
DMR01,Dhamori,Coin Hoard,Unknown,Kalachuri,On unspecified Numismatics ground,No,None,1801,Silver,Unknown,Unknown,Unknown,Unknown,Kalachuri king Krishnaraj,Unknown,None,,"675 coins were acquired and were distributed in various musuems like Nagpur Musuem, Calcutta Musuem, Madras Musuem, Prince of Wales musuuem Bombay, Luck now musuem, Lahore Musuem, Quetta Musuem, Ajmere Musuem, Rangoon Musuem, Dacca Musuem, B and O Coin Cabinet, Patna, BBRAS, Bombay."
GGD04,Ghugusgad,Coin Hoard,A large hoard of Kshatrapa coins was found in the field of Shri Godri Mahajan of Kolitmara village,Kshatrapa,Unrecorded,Yes,"Agricultural field, part of wider settlement site (recorded separately)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,
GND01?,Vidarbha,Coin Hoard,"""The said hoard reportedly contained more than 60 coins […]. Type A: A new local type of 4-symbol punchmarked coins, Silver, Karshapana, 11 varieties, 40-45 coins; Type B: 'Scorpion' Type 4-symbol punchmarked coins, Silver, Karshapana, 3 varieties, 4-5 coins; Type C: Single symbol type punchmarked coins ('Avanti' type), Base Silver, quarter Karshapana, Not examined, 15-20 coins; Type D: Single symbol (Elephant)-repoussé technique, Silver, Mashka, Not examined, 1 coin"" (Sharma 2010: 2-4)",Maurya,Coin types and motifs,No,None,Approx. 60,Silver,Unknown,Unknown,"Type A: A new local type of 4-symbol punchmarked coins, Silver, Karshapana, 11 varieties, 40-45 coins; Type B: 'Scorpion' Type 4-symbol punchmarked coins, Silver, Karshapana, 3 varieties, 4-5 coins; Type C: Single symbol type punchmarked coins ('Avanti' type), Base Silver, quarter Karshapana, Not examined, 15-20 coins; Type D: Single symbol (Elephant)-repoussé technique, Silver, Mashka, Not examined, 1 coin (Sharma 2010: 2-4)","Type A: A new local type of 4-symbol punchmarked coins, Silver, Karshapana, 11 varieties, 40-45 coins; Type B: 'Scorpion' Type 4-symbol punchmarked coins, Silver, Karshapana, 3 varieties, 4-5 coins; Type C: Single symbol type punchmarked coins ('Avanti' type), Base Silver, quarter Karshapana, Not examined, 15-20 coins; Type D: Single symbol (Elephant)-repoussé technique, Silver, Mashka, Not examined, 1 coin (Sharma 2010: 2-4)",Unknown,Unknown,Unknown,Unknown,Unknown
KDP01,Kaundaniyapur (Bheem tekdi),Coin Parcel,Rectagular in shape,3 rd-1 st century BC,The Ujjain symbol showing the variety without cross- bars and the ribbon of taurine and swastika were considered as new features on copper punch marked coins and assigned to third- first century BC.,Yes,"Coin no.1) Accession no. 143; Reported from trench B 3 (level- 7), Depth 11 ft; Coin no.2) Accession no. 148; Reported from trench D 3 (level 4), Depth 6 ft.","Unknown (Only two Copper punch coin of Dhamabhadra found in the Kaundaniyapur excavation are published in Gupta 1996 (NS, 1): 22.",Copper,Coin no.1) 2.56 gm; Coin no.2) Not recorded ,Coin no.1) 1.3 cm x 1.2 cm; Coin no.2) Not recorded,"Coin no.1) ""Four symbols out of which three are clear. These are (i) A variety of Ujjain symbol without the cross- bars, (ii) A tree with broad leaves and (iii) A ribbon of Swastik and taurine symbols""; Coin no.2) ""As above. The Ujjain symbol is without cross- bars but with a pellet in each orb.""",Coin no.1)  and  Coin no.2) Blank. ,Dhamabhadra,Unknown,Unknown,None,Unknown
KDP03,Kaundaniyapur ,Coin hoard,"Coin no. 1) ""a coin of Mahakshatrapa Vijayasena: year 165."" ( Mirashi 1961: 336); Coin no. 2) and 3) ""Mahakshatrapa Rudrasena II.""  (Mirashi 1961: 337); Coin no. 4) ""Kshatrapa Vishvasena."" (Mirashi 1961: 337-38); Coin no. 5) ""Kshatrapa Rudrasimha II."" (Mirashi 1961: 338)",Western Kshatrapa,Legend,No,None,Unknown,Unknown,Coin no. 1) 30 grains ( Mirashi 1961: 336); Coin no. 2) 25 grains (Mirashi 1961: 337); Coin no. 3) 26 grains (Mirashi 1961: 337); Coin no. 4) 27.5 grains (Mirashi 1961: 337-38); Coin no. 5) 27.5 cm (Mirashi 1961: 338),Coin no. 1) 1.5cm ( Mirashi 1961: 336); Coin no. 2) 1.4 cm (Mirashi 1961: 337); Coin no. 3) 1.4 cm (Mirashi 1961: 337); Coin no. 4) 1.4 cm (Mirashi 1961: 337-38); Coin no. 5) 1.4 cm (Mirashi 1961: 338),"Coin no. 1) Bust of king to right, with lower traces of some letters in front. Lower traces of symbols denoting the behind the ear, which appear to indicate the year 165. ( Mirashi 1961: 336); Coin no. 2) Bust of the king with a clear moustache. No traces of letters in front or symbols behind the ear visible, except the lower portion of the symbol for 100. (Mirashi 1961: 337); Coin no. 3) As above. No traces of letters or symbols in front or behind.(Mirashi 1961: 337); Coin no. 4) Bust of king as above. No letters in front or symbols behind visible, except the lower portion of the symbol for 200. (Mirashi 1961: 337-38); Coin no. 5) Bust of King as above. No letters or symbols visible. (Mirashi 1961: 338)","Coin no. 1) Hill or chaitya of three arches, with the crescent on the top and a star to right; below a wavy line; round the edge, inside a border of beads, the legend commencing at 3- ""[ Rajna Kshatra] [pasa Damase] na-putrasa Rajna Mahakshatrapasa Vijayase[nasa]"". ( Mirashi 1961: 336);  Coin no. 2) Three arched hill or chaitya in the centre with a cresent at the top and a star to right. inside a circle of beads along the edge, the legend, commemmencing at 1-""[Rajna Kshatrapasa Vi] radama-putrasa Rajna Mahakshatrapasa Rudrasenasa"". (Mirashi 1961: 337); Coin no. 3) As above, hill etc. Legend commencing at 1-"" [Rajna Kshatrapasa Viradamaputrasa] Rajna Mahakshatrapasa Rudrasenasa"".(Mirashi 1961: 337);  Coin no. 4) Three arched hill or chaitya with a crescent at the top visible. The star on the right worn out. Only a part of the legend legible-""...[Bha] rtridama-putrasa Rajna Kshatrapasa[vish]va..."" (Mirashi 1961: 337-38); Coin no. 5) Three arched chaitya as above, but without a crescent. Star to right. Legend round the edge, commencing at 11- ""Swama-Jivadamaputrasa Rajna Kshatrapa Rudra[simha]sa"". Several letters appear blurred.(Mirashi 1961: 338)","Mahakshatrapa Vijayasena, Mahakshatrapa Rudrasena II, Kshatrapa Vishvasena, Kshatrapa Rudrasimha II",1) S. 172 as listed by Rapson.,"Pl.III.6, Pl. III.8, Pl.III.9, Pl.III.11, Pl.III.12 (JNSI, XXIII)",None,"In the collection of Mr. N . M. Landage of Bharaswada, a village near Kaundaniyapur."
KLB02,Kalamb,Coin Hoard,"""The hoard contained one coin of Singhana, twenty six coins of Mahadeva and eleven coins of Ramachandra"" (Jain 1957:19)",Yadava Period,On unspecified Numismatics ground,No,None,38,Gold,Unknown,Unknown,Unknown,Unknown,"Singhna, Mahadeva and Ramachandra",Unknown,"Pl. II.1-3 (JNSI, XIX)",,Deposited in various musuem.
KLP02,Kholapur,Associated coin(s),"""One coin each of the Indo-
Sassanian, Bhonslas of Nagpur, besides a copper coin of Akbar and some of the Shahi kings,
were, noticed in the possession of a villager at Kholapur."" (IAR 1979-80: 97)","Indo- Sasanian,Mughals, Bhonslas",On unspecified Numismatics ground,No,None,Unknown,1 Copper and other unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,None,In the possession of a villager at Kholapur.
KLZ02,Kelzar,Coin Hoard,"On study found to be ""Padmatankas of Yadava king Singhana and Krishna"" (IAR 1967-68: 64)",Yadava Period,On unspecified Numismatics ground,No,None,19,Unknown,Unknown,Unknown,Unknown,Unknown,Yadava king Singhana and Krishna,Unknown,None,Hoard was discovered in 1962 during digging operation.,Unknown
KRJ01,Karanja,Associated coin(s),Single coin of Rudrasena II,Shaka year 186,"Legend mentions the name of the ruler (See ""Reverse Description"" column).",No,None,Unknown,Unknown,Coin no. 1) 33 grains,Coin no. 1) 0.55,"Coin no. 1) Bust of king to ringht with sarafs marks; traces of some letters on the head; behind the ear, the date 186 in numerical symbols. ","Coin no. 1) Hill or chaitya of three arches, with the crescent on the top and a star to right; below a wavy line; round the edge inside a border of beads the legend beginnning at 1- ""Rajnah Kshatrapasa Virdamaputrasa Rajnah (Mahakshatrapa) Rudrasena"".",Rudrasena II ,Unknown,"Pl.IV.5 (JNSI, XXII)",None,"Coin was picked up by Mr. Vishnukumar Dongargaonkar, a student of Nagpur University."
LHR04,Lohara,Coin Parcel,Unknown,Indo-Sasanian,On unspecified Numismatics ground,No,None,4,Silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,,Deposited in Nagpur Musuem
